,ID,Income.Group
0,32562,<=50K
1,32563,>50K
2,32564,<=50K
3,32565,>50K
4,32566,<=50K
5,32567,<=50K
6,32568,<=50K
7,32569,<=50K
8,32570,<=50K
9,32571,<=50K
10,32572,<=50K
11,32573,<=50K
12,32574,<=50K
13,32575,<=50K
14,32576,>50K
15,32577,>50K
16,32578,<=50K
17,32579,<=50K
18,32580,<=50K
19,32581,>50K
20,32582,<=50K
21,32583,<=50K
22,32584,<=50K
23,32585,<=50K
24,32586,<=50K
25,32587,<=50K
26,32588,<=50K
27,32589,<=50K
28,32590,<=50K
29,32591,<=50K
30,32592,<=50K
31,32593,<=50K
32,32594,<=50K
33,32595,<=50K
34,32596,<=50K
35,32597,<=50K
36,32598,<=50K
37,32599,<=50K
38,32600,<=50K
39,32601,<=50K
40,32602,<=50K
41,32603,>50K
42,32604,<=50K
43,32605,<=50K
44,32606,<=50K
45,32607,<=50K
46,32608,<=50K
47,32609,<=50K
48,32610,<=50K
49,32611,<=50K
50,32612,<=50K
51,32613,<=50K
52,32614,<=50K
53,32615,<=50K
54,32616,<=50K
55,32617,<=50K
56,32618,<=50K
57,32619,>50K
58,32620,>50K
59,32621,<=50K
60,32622,<=50K
61,32623,<=50K
62,32624,<=50K
63,32625,<=50K
64,32626,<=50K
65,32627,<=50K
66,32628,>50K
67,32629,<=50K
68,32630,<=50K
69,32631,>50K
70,32632,>50K
71,32633,<=50K
72,32634,<=50K
73,32635,<=50K
74,32636,<=50K
75,32637,<=50K
76,32638,>50K
77,32639,<=50K
78,32640,<=50K
79,32641,<=50K
80,32642,>50K
81,32643,<=50K
82,32644,<=50K
83,32645,>50K
84,32646,>50K
85,32647,<=50K
86,32648,<=50K
87,32649,<=50K
88,32650,<=50K
89,32651,<=50K
90,32652,<=50K
91,32653,<=50K
92,32654,<=50K
93,32655,<=50K
94,32656,<=50K
95,32657,<=50K
96,32658,<=50K
97,32659,>50K
98,32660,<=50K
99,32661,<=50K
100,32662,<=50K
101,32663,<=50K
102,32664,<=50K
103,32665,<=50K
104,32666,<=50K
105,32667,<=50K
106,32668,<=50K
107,32669,<=50K
108,32670,<=50K
109,32671,<=50K
110,32672,<=50K
111,32673,<=50K
112,32674,<=50K
113,32675,<=50K
114,32676,>50K
115,32677,<=50K
116,32678,<=50K
117,32679,<=50K
118,32680,<=50K
119,32681,<=50K
120,32682,<=50K
121,32683,<=50K
122,32684,<=50K
123,32685,<=50K
124,32686,<=50K
125,32687,<=50K
126,32688,<=50K
127,32689,<=50K
128,32690,<=50K
129,32691,<=50K
130,32692,<=50K
131,32693,<=50K
132,32694,<=50K
133,32695,<=50K
134,32696,>50K
135,32697,<=50K
136,32698,<=50K
137,32699,>50K
138,32700,<=50K
139,32701,>50K
140,32702,<=50K
141,32703,<=50K
142,32704,>50K
143,32705,>50K
144,32706,<=50K
145,32707,<=50K
146,32708,<=50K
147,32709,<=50K
148,32710,>50K
149,32711,<=50K
150,32712,<=50K
151,32713,<=50K
152,32714,<=50K
153,32715,<=50K
154,32716,<=50K
155,32717,<=50K
156,32718,<=50K
157,32719,<=50K
158,32720,<=50K
159,32721,<=50K
160,32722,<=50K
161,32723,<=50K
162,32724,<=50K
163,32725,<=50K
164,32726,>50K
165,32727,<=50K
166,32728,<=50K
167,32729,>50K
168,32730,<=50K
169,32731,<=50K
170,32732,<=50K
171,32733,<=50K
172,32734,<=50K
173,32735,>50K
174,32736,<=50K
175,32737,>50K
176,32738,<=50K
177,32739,>50K
178,32740,<=50K
179,32741,<=50K
180,32742,<=50K
181,32743,<=50K
182,32744,<=50K
183,32745,<=50K
184,32746,<=50K
185,32747,<=50K
186,32748,<=50K
187,32749,<=50K
188,32750,<=50K
189,32751,<=50K
190,32752,<=50K
191,32753,<=50K
192,32754,<=50K
193,32755,<=50K
194,32756,<=50K
195,32757,<=50K
196,32758,<=50K
197,32759,<=50K
198,32760,<=50K
199,32761,<=50K
200,32762,<=50K
201,32763,<=50K
202,32764,<=50K
203,32765,<=50K
204,32766,<=50K
205,32767,<=50K
206,32768,<=50K
207,32769,<=50K
208,32770,<=50K
209,32771,<=50K
210,32772,<=50K
211,32773,<=50K
212,32774,<=50K
213,32775,<=50K
214,32776,<=50K
215,32777,>50K
216,32778,<=50K
217,32779,<=50K
218,32780,<=50K
219,32781,<=50K
220,32782,<=50K
221,32783,<=50K
222,32784,<=50K
223,32785,<=50K
224,32786,<=50K
225,32787,<=50K
226,32788,<=50K
227,32789,<=50K
228,32790,<=50K
229,32791,<=50K
230,32792,<=50K
231,32793,<=50K
232,32794,<=50K
233,32795,<=50K
234,32796,<=50K
235,32797,<=50K
236,32798,<=50K
237,32799,<=50K
238,32800,<=50K
239,32801,<=50K
240,32802,<=50K
241,32803,>50K
